player_id,player,recent_team,week,completions,attempts,passing_yards,passing_tds,interception,position,season,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,team,player_name,player_display_name,fantasy_points_ppr,fantasy_points,points
00-0033873,P.Mahomes,KC,6,22.0,33.0,257.0,3.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,22.279999,22.279999,22.279999
00-0033873,P.Mahomes,KC,7,26.0,36.0,286.0,3.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,23.439999,23.439999,23.439999
00-0033873,P.Mahomes,KC,8,25.0,37.0,299.0,3.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,23.96,23.96,23.96
00-0033873,P.Mahomes,KC,9,15.0,38.0,250.0,0.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,10.0,10.0,10.0
00-0033873,P.Mahomes,KC,11,29.0,48.0,276.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,15.04,15.04,15.04
00-0033873,P.Mahomes,KC,12,29.0,51.0,352.0,0.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,P.Mahomes,P.Mahomes,14.08,14.08,14.08
00-0033908,C.Kupp,SEA,7,0.0,1.0,0.0,0.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,C.Kupp,C.Kupp,0.0,0.0,0.0
00-0033949,J.Dobbs,NE,4,0.0,1.0,0.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,J.Dobbs,J.Dobbs,0.0,0.0,0.0
00-0033949,J.Dobbs,NE,7,1.0,1.0,12.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,J.Dobbs,J.Dobbs,0.48,0.48,0.48
00-0034348,C.Sutton,DEN,10,0.0,1.0,0.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,C.Sutton,C.Sutton,0.0,0.0,0.0
00-0034577,K.Allen,DET,10,0.0,2.0,0.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,K.Allen,K.Allen,0.0,0.0,0.0
00-0034771,M.Rudolph,PIT,2,2.0,2.0,12.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,M.Rudolph,M.Rudolph,0.48,0.48,0.48
00-0034771,M.Rudolph,PIT,11,12.0,16.0,127.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,M.Rudolph,M.Rudolph,9.08,9.08,9.08
