game_id,week,player_id,player_name,assist_tackles,qb_hits,sacks,solo_tackles,tfls,total_tackles
2025_01_DAL_PHI,1,00-0037281,D.Clark,3.0,0.0,0.0,3.0,0.0,4.5
2025_01_DAL_PHI,1,00-0037310,J.Houston,0.0,0.0,0.0,2.0,1.0,2.0
2025_01_DAL_PHI,1,00-0037614,J.Metchie,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_DAL_PHI,1,00-0037665,S.Williams,0.0,1.0,0.0,3.0,1.0,3.0
2025_01_DAL_PHI,1,00-0038412,M.Ojomo,1.0,1.0,0.0,0.0,0.0,0.5
2025_01_DAL_PHI,1,00-0039002,S.Brown,1.0,0.0,0.0,1.0,0.0,1.5
2025_01_DAL_PHI,1,00-0039013,N.Smith,1.0,0.0,0.0,1.0,0.0,1.5
2025_01_DAL_PHI,1,00-0039072,J.Bennett,0.0,0.0,0.0,3.0,0.0,3.0
2025_01_DAL_PHI,1,00-0039352,M.Liufau,0.0,0.0,0.0,3.0,0.0,3.0
2025_01_DAL_PHI,1,00-0039740,J.Hunt,1.0,0.0,0.0,0.0,1.0,0.5
2025_01_DAL_PHI,1,00-0039841,C.DeJean,1.0,0.0,0.0,3.0,0.0,3.5
2025_01_DAL_PHI,1,00-0039888,Q.Mitchell,0.0,0.0,0.0,3.0,0.0,3.0
2025_01_DAL_PHI,1,00-0039900,M.Kneeland,1.0,1.0,1.0,2.0,1.0,2.5
2025_01_DAL_PHI,1,00-0040708,J.Campbell,2.0,0.0,0.0,0.0,0.0,1.0
2025_01_DAL_PHI,1,00-0040725,D.Ezeiruaku,0.0,1.0,0.0,1.0,0.0,1.0
2025_01_DAL_PHI,1,00-0040749,A.Mukuba,1.0,0.0,0.0,2.0,0.0,2.5
2025_01_DET_GB,1,00-0033914,A.Anzalone,2.0,0.0,0.0,1.0,0.0,2.0
2025_01_DET_GB,1,00-0033964,A.Muhammad,0.0,1.0,0.0,0.0,0.0,0.0
2025_01_DET_GB,1,00-0034344,M.Davenport,1.0,0.0,0.0,1.0,0.0,1.5
2025_01_DET_GB,1,00-0034377,A.Maddox,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_DET_GB,1,00-0034384,D.Reed,1.0,0.0,0.0,3.0,0.0,3.5
