game_id,week,player_id,player_name,team,rz_rush_att,rz_rush_tds,rz_rush_yards,rz_targets,rz_receptions,rz_rec_tds,rz_rec_yards,rz_opportunities,rz_total_tds,rz_opportunities_avg,rz_total_tds_avg,rz_rush_att_avg,rz_targets_avg
2025_02_CLE_BAL,2,00-0032764,D.Henry,BAL,2,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025_03_DET_BAL,3,00-0032764,D.Henry,BAL,3,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0
2025_04_BAL_KC,4,00-0032764,D.Henry,BAL,2,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.5,0.0,2.5,0.0
2025_05_HOU_BAL,5,00-0032764,D.Henry,BAL,3,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,2.3333333333333335,0.0,2.3333333333333335,0.0
2025_06_LA_BAL,6,00-0032764,D.Henry,BAL,5,0.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,2.5,0.25,2.5,0.0
2025_08_CHI_BAL,8,00-0032764,D.Henry,BAL,7,2.0,23.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,0.2,3.0,0.0
2025_09_BAL_MIA,9,00-0032764,D.Henry,BAL,2,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,3.6666666666666665,0.5,3.6666666666666665,0.0
2025_10_BAL_MIN,10,00-0032764,D.Henry,BAL,3,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,3.4285714285714284,0.42857142857142855,3.4285714285714284,0.0
2025_11_BAL_CLE,11,00-0032764,D.Henry,BAL,5,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,3.375,0.375,3.375,0.0
2025_05_SF_LA,5,00-0032775,D.Robinson,SF,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_08_SF_HOU,8,00-0032775,D.Robinson,SF,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2025_09_SF_NYG,9,00-0032775,D.Robinson,SF,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2025_03_CIN_MIN,3,00-0032950,C.Wentz,MIN,1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_07_PHI_MIN,7,00-0032950,C.Wentz,MIN,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2025_03_MIA_BUF,3,00-0033040,T.Hill,MIA,0,0.0,0.0,2.0,2.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0
2025_04_GB_DAL,4,00-0033077,D.Prescott,DAL,1,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_06_DAL_CAR,6,00-0033077,D.Prescott,DAL,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
2025_07_WAS_DAL,7,00-0033077,D.Prescott,DAL,1,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0
2025_08_DAL_DEN,8,00-0033077,D.Prescott,DAL,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.0
2025_11_DAL_LV,11,00-0033077,D.Prescott,DAL,4,0.0,-4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.25,1.0,0.0
2025_02_NE_MIA,2,00-0033090,H.Henry,NE,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_03_PIT_NE,3,00-0033090,H.Henry,NE,0,0.0,0.0,4.0,3.0,2.0,30.0,4.0,2.0,1.0,0.0,0.0,1.0
2025_04_CAR_NE,4,00-0033090,H.Henry,NE,0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,2.5,1.0,0.0,2.5
2025_05_NE_BUF,5,00-0033090,H.Henry,NE,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.6666666666666666,0.0,2.0
2025_08_CLE_NE,8,00-0033090,H.Henry,NE,0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,1.75,0.5,0.0,1.75
2025_10_NE_TB,10,00-0033090,H.Henry,NE,0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,1.6,0.6,0.0,1.6
2025_11_NYJ_NE,11,00-0033090,H.Henry,NE,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5,0.5,0.0,1.5
2025_03_DET_BAL,3,00-0033106,J.Goff,DET,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_05_DET_CIN,5,00-0033106,J.Goff,DET,2,0.0,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
2025_02_LA_TEN,2,00-0033110,T.Higbee,LA,0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_03_LA_PHI,3,00-0033110,T.Higbee,LA,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2025_06_LA_BAL,6,00-0033110,T.Higbee,LA,0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0
2025_07_LA_JAX,7,00-0033110,T.Higbee,LA,0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.3333333333333333,0.0,1.0
2025_09_NO_LA,9,00-0033110,T.Higbee,LA,0,0.0,0.0,2.0,2.0,1.0,9.0,2.0,1.0,1.0,0.25,0.0,1.0
2025_11_SEA_LA,11,00-0033110,T.Higbee,LA,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,0.4,0.0,1.2
2025_06_ARI_IND,6,00-0033119,J.Brissett,ARI,1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_09_ARI_DAL,9,00-0033119,J.Brissett,ARI,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2025_10_ARI_SEA,10,00-0033119,J.Brissett,ARI,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0
2025_11_SF_ARI,11,00-0033119,J.Brissett,ARI,2,0.0,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.0
2025_02_DEN_IND,2,00-0033217,M.Alie-Cox,IND,0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_07_IND_LAC,7,00-0033217,M.Alie-Cox,IND,0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0
2025_09_IND_PIT,9,00-0033217,M.Alie-Cox,IND,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2025_11_LAC_JAX,11,00-0033246,J.Mundt,JAX,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_01_SF_SEA,1,00-0033280,C.McCaffrey,SF,8,0.0,1.0,3.0,2.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0
2025_02_SF_NO,2,00-0033280,C.McCaffrey,SF,1,0.0,4.0,2.0,2.0,1.0,12.0,3.0,1.0,11.0,0.0,8.0,3.0
2025_03_ARI_SF,3,00-0033280,C.McCaffrey,SF,4,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,7.0,0.5,4.5,2.5
2025_04_JAX_SF,4,00-0033280,C.McCaffrey,SF,3,0.0,3.0,2.0,1.0,1.0,8.0,5.0,1.0,6.333333333333333,0.3333333333333333,4.333333333333333,2.0
2025_05_SF_LA,5,00-0033280,C.McCaffrey,SF,5,0.0,17.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,0.5,4.0,2.0
2025_06_SF_TB,6,00-0033280,C.McCaffrey,SF,4,1.0,7.0,1.0,1.0,0.0,5.0,5.0,1.0,6.0,0.6,4.2,1.8
2025_07_ATL_SF,7,00-0033280,C.McCaffrey,SF,5,2.0,-2.0,1.0,1.0,0.0,13.0,6.0,2.0,5.833333333333333,0.6666666666666666,4.166666666666667,1.6666666666666667
2025_08_SF_HOU,8,00-0033280,C.McCaffrey,SF,1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.857142857142857,0.8571428571428571,4.285714285714286,1.5714285714285714
2025_09_SF_NYG,9,00-0033280,C.McCaffrey,SF,5,1.0,11.0,1.0,1.0,1.0,5.0,6.0,2.0,5.375,0.75,3.875,1.5
2025_10_LA_SF,10,00-0033280,C.McCaffrey,SF,2,0.0,2.0,3.0,3.0,0.0,22.0,5.0,0.0,5.444444444444445,0.8888888888888888,4.0,1.4444444444444444
2025_11_SF_ARI,11,00-0033280,C.McCaffrey,SF,3,2.0,8.0,2.0,2.0,1.0,10.0,5.0,3.0,5.4,0.8,3.8,1.6
2025_05_NE_BUF,5,00-0033282,C.Samuel,BUF,0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_01_SF_SEA,1,00-0033288,G.Kittle,SF,0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_08_SF_HOU,8,00-0033288,G.Kittle,SF,0,0.0,0.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,0.0,1.0
2025_09_SF_NYG,9,00-0033288,G.Kittle,SF,1,0.0,-3.0,1.0,1.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,1.0
2025_10_LA_SF,10,00-0033288,G.Kittle,SF,0,0.0,0.0,4.0,4.0,1.0,31.0,4.0,1.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
2025_11_SF_ARI,11,00-0033288,G.Kittle,SF,0,0.0,0.0,2.0,2.0,1.0,10.0,2.0,1.0,2.0,0.75,0.25,1.75
2025_08_MIN_LAC,8,00-0033293,A.Jones,MIN,1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2025_10_BAL_MIN,10,00-0033293,A.Jones,MIN,1,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
2025_11_CHI_MIN,11,00-0033293,A.Jones,MIN,1,0.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,1.5,0.5,1.0,0.5
2025_05_SF_LA,5,00-0033307,K.Bourne,SF,0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_06_SF_TB,6,00-0033307,K.Bourne,SF,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2025_05_NYG_NO,5,00-0033357,T.Hill,NO,1,0.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_06_NE_NO,6,00-0033357,T.Hill,NO,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2025_09_NO_LA,9,00-0033357,T.Hill,NO,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.5,1.0,0.0
2025_10_NO_CAR,10,00-0033357,T.Hill,NO,3,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.0
2025_02_JAX_CIN,2,00-0033375,T.Patrick,JAX,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_11_LAC_JAX,11,00-0033375,T.Patrick,JAX,0,0.0,0.0,2.0,2.0,1.0,11.0,2.0,1.0,1.0,0.0,0.0,1.0
2025_05_DET_CIN,5,00-0033526,S.Perine,CIN,0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_07_PIT_CIN,7,00-0033526,S.Perine,CIN,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2025_08_NYJ_CIN,8,00-0033526,S.Perine,CIN,2,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.5,0.5
