player_id,player_name,team,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,games_played
00-0026498,M.Stafford,LA,9,2025,2025_09_NO_LA,QB,281.0,4.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.666666666666667,2.6666666666666665,0.0,0.0,5.222222222222222,4.333333333333333,0.0,0.0,1.3333333333333333,2.0,0.8888888888888888,0.6666666666666666,14
00-0026498,M.Stafford,LA,9,2025,2025_09_NO_LA,RB,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.083333333333333,0.3333333333333333,0.0,0.0,8.25,17.333333333333332,0.0,0.0,1.75,3.0,0.75,0.3333333333333333,15
00-0026498,M.Stafford,LA,10,2025,2025_10_LA_SF,QB,280.0,4.0,24.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,33.666666666666664,0.3,0.3333333333333333,2.3,3.3333333333333335,0.0,0.0,16
00-0026498,M.Stafford,LA,10,2025,2025_10_LA_SF,RB,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,17
00-0026498,M.Stafford,LA,11,2025,2025_11_SEA_LA,QB,130.0,2.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17.25,19.333333333333332,0.0,0.0,8.625,18.0,0.125,0.3333333333333333,1.125,2.3333333333333335,3.375,4.666666666666667,18
00-0027973,A.Dalton,CAR,3,2025,2025_03_ATL_CAR,RB,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0,167.0,167.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
00-0027973,A.Dalton,CAR,4,2025,2025_04_CAR_NE,QB,58.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,3.3333333333333335,3.3333333333333335,2
00-0027973,A.Dalton,CAR,7,2025,2025_07_CAR_NYJ,QB,60.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.33333333333333,74.33333333333333,0.3333333333333333,0.3333333333333333,5.0,5.0,0.0,0.0,3
00-0027973,A.Dalton,CAR,7,2025,2025_07_CAR_NYJ,RB,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.6666666666666666,0.0,0.0,50.142857142857146,38.0,0.2857142857142857,0.3333333333333333,4.142857142857143,3.6666666666666665,0.14285714285714285,0.3333333333333333,4
00-0027973,A.Dalton,CAR,8,2025,2025_08_BUF_CAR,QB,175.0,0.0,16.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.666666666666666,14.0,0.06666666666666667,0.3333333333333333,4.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,3.533333333333333,4.0,5
00-0027973,A.Dalton,CAR,8,2025,2025_08_BUF_CAR,RB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.5,0.5,0.5,0.5,0.0,0.0,6
00-0028118,T.Taylor,NYJ,2,2025,2025_02_BUF_NYJ,QB,56.0,1.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.6,-1.0,0.0,0.0,20.0,25.0,0.4,0.3333333333333333,2.4,2.6666666666666665,0.2,0.3333333333333333,1
00-0028118,T.Taylor,NYJ,2,2025,2025_02_BUF_NYJ,RB,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.5,11.5,0.0,0.0,22.0,22.0,0.5,0.5,1.5,1.5,4.0,4.0,2
