player_id,player_name,team,opponent,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,season_avg_completions,l3_avg_completions,season_avg_attempts,l3_avg_attempts,season_avg_targets,l3_avg_targets,season_avg_interceptions,l3_avg_interceptions,games_played
00-0029892,K.Juszczyk,SF,ARI,3,2025,2025_03_ARI_SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.285714285714285,54.0,0.0,0.0,2.4285714285714284,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,4.0,0.0,0.0,3
00-0029892,K.Juszczyk,SF,JAX,4,2025,2025_04_JAX_SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,76.22222222222223,52.666666666666664,0.2222222222222222,0.3333333333333333,5.666666666666667,5.666666666666667,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,9.444444444444445,11.0,0.0,0.0,4
00-0029892,K.Juszczyk,SF,LA,5,2025,2025_05_SF_LA,WR,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,21.0,0.0,3.0,4,16.0,16.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.0,3.0,4.5,4.5,0.0,0.0,0.0,0.0,5
00-0029892,K.Juszczyk,SF,TB,6,2025,2025_06_SF_TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.857142857142854,32.666666666666664,0.2857142857142857,0.0,3.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,6.333333333333333,0.0,0.0,6
00-0029892,K.Juszczyk,SF,ATL,7,2025,2025_07_ATL_SF,WR,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,10.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,10.666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,7
00-0029892,K.Juszczyk,SF,HOU,8,2025,2025_08_SF_HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,18.666666666666668,0.0,0.0,1.625,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.875,2.6666666666666665,0.0,0.0,8
00-0029892,K.Juszczyk,SF,NYG,9,2025,2025_09_SF_NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,19.333333333333332,0.25,0.0,3.625,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,5.375,4.0,0.0,0.0,9
00-0029892,K.Juszczyk,SF,LA,10,2025,2025_10_LA_SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.285714285714285,34.333333333333336,0.14285714285714285,0.3333333333333333,1.4285714285714286,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,3.0,0.0,0.0,10
00-0029892,K.Juszczyk,SF,ARI,11,2025,2025_11_SF_ARI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,44.666666666666664,0.0,0.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,11
00-0030035,A.Thielen,MIN,CHI,1,2025,2025_01_MIN_CHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,10.666666666666666,10.0,0.0,0.0,1.5,1.6666666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,2.3333333333333335,0.0,0.0,1
