"season","season_type","week","player_display_name","player_position","team_abbr","avg_cushion","avg_separation","avg_intended_air_yards","percent_share_of_intended_air_yards","receptions","targets","catch_percentage","yards","rec_touchdowns","avg_yac","avg_expected_yac","avg_yac_above_expectation","player_gsis_id","player_first_name","player_last_name","player_jersey_number","player_short_name"
2024,"REG",12,"Puka Nacua","WR","LAR",7.30833333333333,2.57772449713598,7.43307692307692,43.1133717039218,9,13,69.2307692307692,117,0,6.99111111111111,5.03127248807271,1.9598386230384,"00-0039075","Puka","Nacua",17,"P.Nacua"
2024,"REG",12,"Mark Andrews","TE","BAL",7.16333333333333,2.9542477537771,6.652,14.1991120218579,5,5,100,44,1,3.49,3.51057399801575,-0.0205739980157467,"00-0034753","Mark","Andrews",89,"M.Andrews"
2024,"REG",12,"Josh Downs","WR","IND",7.09,2.72637013799674,6.49428571428572,13.5519451483082,3,7,42.8571428571429,27,0,9.27333333333333,9.64779901469259,-0.374465681359254,"00-0038997","Joshua","Downs",1,"J.Downs"
2024,"REG",12,"Tyreek Hill","WR","MIA",7.04166666666667,3.51816318428516,7.89166666666667,21.1809438604339,5,6,83.3333333333333,48,0,2.2,4.02865769591755,-1.82865769591755,"00-0033040","Tyreek","Hill",10,"T.Hill"
2024,"REG",12,"Sam LaPorta","TE","DET",7.032,3.85270536750053,4.64,14.3077397471477,3,6,50,19,0,5.13333333333333,5.51624056377724,-0.382907230443903,"00-0039065","Sam","LaPorta",87,"S.LaPorta"
2024,"REG",12,"Wan'Dale Robinson","WR","NYG",6.912,5.08888364411035,5.374,15.0237629298295,5,5,100,47,0,4.026,3.65969540836486,0.366304591635141,"00-0038117","Charles","Robinson",17,"W.Robinson"
2024,"REG",12,"Rome Odunze","WR","CHI",6.83666666666667,3.79051472310098,11.481,33.0388489208633,5,10,50,39,0,4.794,4.69787565810811,0.0961243418918851,"00-0039919","Rome","Odunze",15,"R.Odunze"
2024,"REG",12,"Sterling Shepard","WR","TB",6.71166666666667,2.9161755213031,2.93,10.6889722743381,5,7,71.4285714285714,16,0,2.526,3.77420970550656,-1.24820970550657,"00-0032385","Sterling","Shepard",17,"S.Shepard"
2024,"REG",12,"Malik Nabers","WR","NYG",6.7,3.03161419784037,8.91777777777778,44.8755940732458,6,9,66.6666666666667,64,0,2.385,3.27900106540388,-0.894001065403881,"00-0039337","Malik","Nabers",1,"M.Nabers"
2024,"REG",12,"Romeo Doubs","WR","GB",6.62,2.98788979667053,11.9333333333333,28.0048500019556,3,6,50,54,0,8.11333333333334,8.99874037284038,-0.885407039507042,"00-0037816","Romeo","Doubs",87,"R.Doubs"
2024,"REG",12,"Jauan Jennings","WR","SF",6.55571428571429,3.53626139182059,6.28142857142857,23.1092657802071,5,7,71.4285714285714,40,0,3.094,3.63693508195738,-0.542935081957381,"00-0036259","Bennie","Jennings",15,"J.Jennings"
2024,"REG",12,"Mike Evans","WR","TB",6.51166666666667,1.65523867923966,10.8416666666667,33.9013967062747,5,6,83.3333333333333,68,0,2.564,1.71087958418506,0.853120415814943,"00-0031408","Mike","Evans",13,"M.Evans"
2024,"REG",12,"Ladd McConkey","WR","LAC",6.408,3.63606509366959,10.6633333333333,18.1968145620023,6,6,100,83,0,3.17,3.87681715738487,-0.706817157384872,"00-0039915","Andrew","McConkey",15,"L.McConkey"
2024,"REG",12,"Calvin Ridley","WR","TEN",6.33166666666667,3.31479696260394,12.815,37.1162386561112,5,6,83.3333333333333,93,0,5.46,7.62413435048047,-2.16413435048047,"00-0034837","Calvin","Ridley",0,"C.Ridley"
2024,"REG",12,"Kendrick Bourne","WR","NE",6.21,2.24770947490981,10.532,18.1648844429114,3,5,60,30,0,2.18666666666667,1.28730774938856,0.899358917278107,"00-0033307","Kendrick","Bourne",84,"K.Bourne"
2024,"REG",12,"Michael Pittman","WR","IND",6.15714285714286,3.03358063487512,11.11,23.1837829780891,6,7,85.7142857142857,96,0,6.89,2.1640461271392,4.7259538728608,"00-0036252","Michael","Pittman",11,"M.Pittman"
2024,"REG",12,"Courtland Sutton","WR","DEN",6.061,2.09723937663997,11.222,39.4765539803708,8,10,80,97,2,0.877500000000001,1.83385000942099,-0.956350009420991,"00-0034348","Courtland","Sutton",14,"C.Sutton"
2024,"REG",12,"Tre Tucker","WR","LV",6.0075,3.27412169969369,7.835,23.7820610107755,7,8,87.5,82,0,5.17285714285714,4.93342069098172,0.239436451875425,"00-0038563","Tre","Tucker",11,"T.Tucker"
2024,"REG",12,"Keenan Allen","WR","CHI",5.93,2.36372068707865,7.98466666666667,34.4661870503597,9,15,60,86,1,3.87444444444444,4.02854439490264,-0.154099950458192,"00-0030279","Keenan","Allen",13,"K.Allen"
2024,"REG",12,"Quentin Johnston","WR","LAC",5.914,1.96782251983922,11.664,16.5870307167236,0,5,0,NA,0,NA,NA,NA,"00-0038544","Quentin","Johnston",1,"Q.Johnston"
2024,"REG",12,"T.J. Hockenson","TE","MIN",5.898,2.6592029447727,10.0233333333333,34.2873432155074,7,9,77.7777777777778,114,0,6.1,4.99966497565621,1.10033502434379,"00-0035229","Thomas","Hockenson",87,"T.Hockenson"
2024,"REG",12,"George Pickens","WR","PIT",5.89,1.75311576512938,19.3542857142857,51.2987504733056,4,7,57.1428571428571,48,0,2.0525,1.40891271692465,0.643587283075352,"00-0037247","George","Pickens",14,"G.Pickens"
