season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2020.0,1.0,NYG,WR,Golden Tate,00-0027891,Questionable,Hamstring,Limited Participation in Practice,Golden Tate,QUESTIONABLE
2020.0,1.0,NYG,TE,Levine Toilolo,00-0030443,Questionable,Hamstring,Limited Participation in Practice,Levine Toilolo,QUESTIONABLE
2020.0,1.0,NYJ,LB,Tarell Basham,00-0033917,,,Full Participation in Practice,Tarell Basham,
2020.0,1.0,NYJ,WR,Jamison Crowder,00-0031941,,,Full Participation in Practice,Jamison Crowder,
2020.0,1.0,NYJ,RB,Frank Gore,00-0023500,,,Full Participation in Practice,Frank Gore,
2020.0,1.0,NYJ,WR,Breshad Perriman,00-0032054,,,Full Participation in Practice,Breshad Perriman,
2020.0,1.0,NYJ,DE,Nathan Shepherd,00-0034760,,,Full Participation in Practice,Nathan Shepherd,
2020.0,1.0,NYJ,WR,Denzel Mims,00-0036255,Out,Hamstrings,Did Not Participate In Practice,Denzel Mims,OUT
2020.0,1.0,NYJ,RB,La'Mical Perine,00-0036269,Out,Ankle,Did Not Participate In Practice,La'Mical Perine,OUT
2020.0,1.0,NYJ,LB,Avery Williamson,00-0031263,Out,Hamstring,Did Not Participate In Practice,Avery Williamson,OUT
2020.0,1.0,NYJ,QB,Joe Flacco,00-0026158,Out,Neck,Limited Participation in Practice,Joe Flacco,OUT
2020.0,1.0,NYJ,G,Alex Lewis,00-0032407,Questionable,Shoulder,Full Participation in Practice,Alex Lewis,QUESTIONABLE
2020.0,1.0,NYJ,S,Marcus Maye,00-0033892,Questionable,Calf,Limited Participation in Practice,Marcus Maye,QUESTIONABLE
2020.0,1.0,PHI,RB,Corey Clement,00-0033725,,,Full Participation in Practice,Corey Clement,
2020.0,1.0,PHI,WR,Jalen Reagor,00-0036387,,,Full Participation in Practice,Jalen Reagor,
2020.0,1.0,PHI,DT,Javon Hargrave,00-0033109,Out,Pectoral,Did Not Participate In Practice,Javon Hargrave,OUT
2020.0,1.0,PHI,WR,Alshon Jeffery,00-0029137,Out,Foot,Did Not Participate In Practice,Alshon Jeffery,OUT
2020.0,1.0,PHI,DE,Derek Barnett,00-0033876,Out,Hamstring,Limited Participation in Practice,Derek Barnett,OUT
2020.0,1.0,PHI,RB,Miles Sanders,00-0035243,Out,Hamstring,Limited Participation in Practice,Miles Sanders,OUT
2020.0,1.0,PHI,T,Lane Johnson,00-0030561,Questionable,Ankle,Limited Participation in Practice,Lane Johnson,QUESTIONABLE
2020.0,1.0,PIT,QB,Ben Roethlisberger,00-0022924,,,Did Not Participate In Practice,Ben Roethlisberger,
2020.0,1.0,PIT,WR,Diontae Johnson,00-0035216,,,Full Participation in Practice,Diontae Johnson,
2020.0,1.0,PIT,G,David DeCastro,00-0029678,Out,Knee,Did Not Participate In Practice,David DeCastro,OUT
2020.0,1.0,SEA,QB,Geno Smith,00-0030565,,,Full Participation in Practice,Geno Smith,
2020.0,1.0,SEA,T,Duane Brown,00-0026166,,,Limited Participation in Practice,Duane Brown,
2020.0,1.0,SEA,TE,Will Dissly,00-0034159,,,Limited Participation in Practice,Will Dissly,
2020.0,1.0,SEA,T,Cedric Ogbuehi,00-0032233,Out,Pectoral,Did Not Participate In Practice,Cedric Ogbuehi,OUT
2020.0,1.0,SEA,WR,Phillip Dorsett,00-0032208,Questionable,Foot,Did Not Participate In Practice,Phillip Dorsett,QUESTIONABLE
2020.0,1.0,SEA,T,Jamarco Jones,00-0034729,Questionable,Illness,Limited Participation in Practice,Jamarco Jones,QUESTIONABLE
2020.0,1.0,SF,RB,Tevin Coleman,00-0032058,,,Did Not Participate In Practice,Tevin Coleman,
2020.0,1.0,SF,WR,Deebo Samuel,00-0035719,Out,Foot,Did Not Participate In Practice,Deebo Samuel,OUT
2020.0,1.0,SF,CB,Jason Verrett,00-0031334,Out,Hamstring,Did Not Participate In Practice,Jason Verrett,OUT
2020.0,1.0,SF,WR,Brandon Aiyuk,00-0036261,Questionable,Hamstring,Limited Participation in Practice,Brandon Aiyuk,QUESTIONABLE
2020.0,1.0,SF,C,Ben Garland,00-0027282,Questionable,Ankle,Limited Participation in Practice,Ben Garland,QUESTIONABLE
2020.0,1.0,TB,DT,Ndamukong Suh,00-0027855,,,Did Not Participate In Practice,Ndamukong Suh,
